title,recruiter,experinece,salary,location,description,skills,time_since_posted
Technical Content Writer,Great Learning,3 - 7 yrs,None,"Bengaluru / Bangalore,  Gurgaon",,"                python  ,   data science  ,   ai  ,   cloud  ,   cyber security   ,  reports  ,  information technology  ,  cms  ,  content management",Posted 5 days ago
Network Data  &  Analytics  ( Contractual role ),Colgate-Palmolive  ( India ),2 - 9 yrs,None,Mumbai,,"                network data  ,   analytics  ,   data science  ,   machine learning  ,   big data technologies   ,  ajax  ,  sql  ,  spring  ,  database  ,  python  ,  soap",Posted 5 days ago
Data Scientist,Armaco Chemical Processes Systems Pvt Ltd,5 - 8 yrs,None,,,"                time series analysis  ,  visualization  ,  business solutions  ,  data science  ,  data scientist  ,  advanced analytics  ,  infrastructure  ,  predictive modeling",Posted few days ago
Monitoring and Evaluation Manager,wotradeal technologies pvt ltd.,5 - 7 yrs,None,Pune,,"                monitoring and evaluation   ,   data sciences   ,   analytics   ,   systems   ,   statistics   ,  action  ,  implementation  ,  problem solving  ,  data collection  ,  planning  ,  cutting",Posted few days ago
Senior Associate - Data Analytics - Model developer,bdo rise private limited,3 - 6 yrs,None,Bengaluru / Bangalore,,"                visualization  ,  bi  ,  dashboards  ,  sql  ,  data science  ,  data visualization  ,  advanced analytics  ,  data analytics  ,  analyst",Posted few days ago
Data Scientist,Datagrid Solutions,5 - 6 yrs,None,Mumbai,,"                data analysis  ,  linear regression  ,  ensemble  ,  tableau  ,  data science  ,  data scientist  ,  data visualization",Posted few days ago
Product and Marketing Intern- Gurgaon,MiQ Digital India,0 - 1 yrs,None,Gurgaon,,"                data visualization   ,   strong communication   ,   curiosity   ,   start up mindset   ,   self learner   ,  data science",Posted few days ago
Manager Agile Operations - Link TrialBase,Veeva Systems,3 - 6 yrs,None,,,"data science  ,  software engineering  ,  san  ,  customer success  ,  consulting  ,  data governance  ,  forms",Posted few days ago
Manager Agile Operations - Link TrialBase,Veeva Systems,3 - 6 yrs,None,,,"data science  ,  software engineering  ,  san  ,  customer success  ,  consulting  ,  data governance  ,  forms",Posted few days ago
Manager - Data Scientist,aeries technology group  ( sabre industries ),10 - 15 yrs,None,Mumbai,,"                visualization  ,  bi  ,  business solutions  ,  sql  ,  data science  ,  data scientist  ,  logistic regression  ,  rdbms  ,  oracle  ,  tableau",Posted few days ago
Business Consultant,Veeva Systems,2 - 5 yrs,None,Mexico,,"data science  ,  san  ,  customer success  ,  consulting  ,  consultant  ,  business consulting  ,  business consultant",Posted few days ago
Manager Agile Operations - Link TrialBase,Veeva Systems,3 - 6 yrs,None,Germany,,"data science  ,  software engineering  ,  san  ,  customer success  ,  consulting  ,  data governance  ,  forms",Posted few days ago
Data Scientist  ( f / m / d ),Alstom Projects India Ltd.,1 - 9 yrs,None,,,"data science  ,   machine learning  ,   analytics  ,   software development  ,   electronics   ,  algorithms  ,  data mining  ,  database  ,  infrastructure  ,  reporting tools",Posted few days ago
Senior Consultant,Risk Management Solutions Inc.,7 - 10 yrs,None,,,"                project leader  ,  java  ,  use cases  ,  advanced analytics  ,  business analyst  ,  sql  ,  data science  ,  functional specifications  ,  consulting  ,  analyst",Posted few days ago
Sr. Data Scientist,pegasus knowledge solutions india pvt ltd.,5 - 8 yrs,None,Bengaluru / Bangalore,,"                data mining  ,  anova  ,  spss  ,  data science  ,  use cases  ,  data scientist  ,  arima  ,  data analytics  ,  sas  ,  written communication",Posted few days ago
Business Intelligence Developer,NeenOpal Intelligent Solutions Private Limited,0 - 3 yrs,None,Bengaluru / Bangalore,,"                business requirements  ,  information technology  ,  bi  ,  data warehousing  ,  dashboards  ,  data science  ,  business analysis  ,  tableau",Posted few days ago
Data and Analytics Solution Expert,NeenOpal Intelligent Solutions Private Limited,2 - 5 yrs,None,Bengaluru / Bangalore,,"                spss  ,  data warehousing  ,  sql  ,  data science  ,  data visualization  ,  advanced analytics  ,  solution architect  ,  sas  ,  tableau  ,  project delivery",Posted few days ago
Business Analyst,Sourcedesk Global Private Limited,2 - 7 yrs,None,Kolkata,,"                c  ,  information technology  ,  consulting  ,  business analyst  ,  data science  ,  pre-sales support",Posted few days ago
Paytm - Product Management - Product Manager - Data Product ( Machine Learning ),Paytm,2 - 5 yrs,None,Noida/Greater Noida,,"                product management   ,   machine learning   ,   data product   ,   data science   ,   product strategy   ,  algorithms  ,  brewing  ,  software engineer  ,  ant",Posted a month ago
Business Analyst,HyreFox Consultants,5 - 8 yrs,None,Bengaluru / Bangalore,,"                business requirements  ,  business analyst  ,  sql  ,  process mapping  ,  data science  ,  brd  ,  data analysis  ,  requirement elicitation  ,  written communication  ,  visio",Posted 1 day ago
Principal Data Scientist,Sigmoid,10 - 13 yrs,None,Bengaluru / Bangalore,,"data science   ,   machine learning   ,   ai and analytics   ,   python programming   ,   client engagement   ,  algorithms  ,  data mining  ,  artificial intelligence  ,  sql  ,  it management  ,  san  ,  nosql",Posted 2 days ago
Engagement Manager,Sigmoid,6 - 9 yrs,None,Bengaluru / Bangalore,,"data science   ,   business consulting   ,   analytics   ,   ai   ,   dataops   ,  technology consulting  ,  cpg  ,  san  ,  customer analytics  ,  data analysis  ,  predictive analytics",Posted 2 days ago
AI-ML Engineer,shopsocially,3 - 5 yrs,None,"Kanpur,  Pune",,"                machine learning   ,   data science   ,   analytics   ,   python programming   ,   aws   (  amazon web services  )     ,  algorithms  ,  sql  ,  software engineering  ,  cloud computing  ,  nosql",Posted 4 days ago
Senior Customer Success Manager,shopsocially,5 - 8 yrs,None,Pune,,"                customer success   ,   account management   ,   data analytics   ,   loyalty programs   ,   strategic consulting   ,  data science  ,  domain expert  ,  consultant  ,  web technologies",Posted 4 days ago
Aera Technology - Operations Research Specialist,Aera Technology,10 - 15 yrs,None,Pune,,"                operations research   ,   mathematical optimization   ,   data science   ,   machine learning   ,   optimization modelling   ,  algorithms  ,  linux  ,  san  ,  python  ,  solution delivery  ,  infrastructure",Posted few days ago
Reservoir Engineer,Exxonmobil Company India Pvt Ltd,3 - 10 yrs,None,Bengaluru / Bangalore,,"                reservoir engineering  ,   analytical skills  ,   reservoir simulation  ,   data science  ,   fluid mechanics   ,  python  ,  ipm  ,  eclipse  ,  storage  ,  security  ,  machine learning",Posted few days ago
Data Scientist,axmiyan hr solutions private limited,3 - 6 yrs,None,Gurgaon,,"                time series analysis  ,  linear regression  ,  data science  ,  data scientist  ,  logistic regression  ,  image processing  ,  advanced analytics  ,  factor analysis",Posted few days ago
"Full Stack Software Developer - Python ,  GenAI",SAP Ariba,3 - 6 yrs,None,Bengaluru / Bangalore,,"                python  ,   genai  ,   software development  ,   ai solutions  ,   data science   ,  artificial intelligence  ,  database  ,  software engineer  ,  mobile  ,  machine learning  ,  software developer",Posted a month ago
Senior Manager Analytics,Sigmoid,8 - 12 yrs,None,Bengaluru / Bangalore,,"                data analytics   ,   data visualization   ,   business intelligence   ,   problem solving   ,   project management   ,  san  ,  advanced analytics  ,  bi  ,  dashboards  ,  tableau  ,  data science  ,  client interaction  ,  sql database",Posted 2 days ago
Senior Data Analyst,Sigmoid,3 - 6 yrs,None,Bengaluru / Bangalore,,"                data analytics   ,   data visualization   ,   business intelligence   ,   statistical  /  ml techniques   ,   team management   ,  san  ,  advanced analytics  ,  spotfire  ,  bi  ,  data analyst  ,  tableau  ,  data science  ,  client interaction  ,  sql database",Posted 2 days ago
Staff Product Analyst,freshworks technologies ltd,8 - 11 yrs,None,Bengaluru / Bangalore,,"                visualization  ,  dashboards  ,  text analytics  ,  logistic regression  ,  advanced analytics  ,  data analytics  ,  data mining  ,  bi  ,  sql  ,  database  ,  data science  ,  product analyst  ,  data visualization  ,  cluster analysis  ,  crm  ,  san  ,  data analysis  ,  tableau",Posted 2 days ago
Power BI Specialist,Alstom Projects India Ltd.,1 - 5 yrs,None,,,"                data analysis   ,   digitalization expertise   ,   tableau   ,   qlik sense   ,   project management   ,  data mining  ,  bi  ,  sql  ,  data extraction  ,  database  ,  data science  ,  use cases  ,  business process  ,  infrastructure",Posted 4 days ago
Manager - Analytics,Sigmoid,5 - 8 yrs,None,Bengaluru / Bangalore,,"                data analytics   ,   data visualization   ,   business intelligence   ,   statistical  /  ml techniques   ,   team management   ,  san  ,  advanced analytics  ,  spotfire  ,  bi  ,  data analyst  ,  tableau  ,  data science  ,  client interaction  ,  sql database",Posted 5 days ago
