title,recruiter,experinece,salary,location,description,skills,time_since_posted
Media Performance Associate Manager,PUBLICIS GROUPE,2 - 4 yrs,None,"Mumbai,  Bengaluru / Bangalore,  Pune,  Gurgaon",,"                ecommerce analysis   ,   market research   ,   data analysis   ,   powerpoint skills   ,   proficiency in microsoft suite   ,  innovation  ,  production  ,  associate manager  ,  action",Posted 5 days ago
Associate Manager - Search  &  Social,PUBLICIS GROUPE,2 - 5 yrs,None,"Mumbai,  Gurgaon",,"                search  &  social   ,   campaign development   ,   data analysis   ,   paid search optimization   ,   microsoft office suite   ,  reporting  ,  reconciliation  ,  excel",Posted 5 days ago
Integration Engineer,locus.sh,3 - 5 yrs,None,Bengaluru / Bangalore,,"                integration  ,   support  ,   engineering  ,   api design  ,   technical support   ,  algorithms  ,  falcon  ,  python  ,  machine learning",Posted 5 days ago
Sr. Associate Technology,PUBLICIS GROUPE,10 - 13 yrs,None,Bengaluru / Bangalore,,"                css  ,  html5  ,  web development  ,  web api  ,  html  ,  mysql  ,  c#  ,  python  ,  javascript  ,  node.js  ,  .net  ,  algorithms  ,  jquery  ,  sql  ,  docker  ,  security  ,  mvc  ,  mongodb  ,  rest  ,  machine learning  ,  django  ,  infrastructure  ,  opencv  ,  sql database",Posted 5 days ago
Chatbot Developer,PUBLICIS GROUPE,2 - 3 yrs,None,Bengaluru / Bangalore,,"                css  ,  html5  ,  web development  ,  web api  ,  html  ,  mysql  ,  c#  ,  python  ,  javascript  ,  node.js  ,  .net  ,  algorithms  ,  jquery  ,  sql  ,  docker  ,  security  ,  mvc  ,  mongodb  ,  rest  ,  machine learning  ,  django  ,  infrastructure  ,  opencv  ,  sql database",Posted 5 days ago
Site Reliability Engineer,evertz,3 - 6 yrs,None,,,"                orchestration  ,  java  ,  python  ,  security  ,  linux  ,  machine learning  ,  infrastructure  ,  splunk",Posted 5 days ago
Lead ML Engineer,IDP EDUCATION INDIA PVT LTD,10 - 13 yrs,None,Chennai,,"                algorithms  ,  software engineering  ,  data structures  ,  python  ,  machine learning  ,  infrastructure",Posted 5 days ago
Scrum Master Pricing Optimization  &  Commercial Dashboard,bekaert india technical center,5 - 9 yrs,None,Bengaluru / Bangalore,,"                scrum master   ,   pricing optimization   ,   commercial dashboard   ,   data analytics   ,   agile  /  scrum methodologies   ,  information technology  ,  bi  ,  agile development  ,  sql  ,  security  ,  sap bw  ,  project management  ,  collaboration  ,  project delivery  ,  delivery lead",Posted 5 days ago
Data Architect Commercial,bekaert india technical center,10 - 13 yrs,None,Bengaluru / Bangalore,,"                data architecture  ,   azure cloud services  ,   agile environment  ,   data modelling  ,   data integration patterns   ,  etl  ,  data profiling  ,  data engineer  ,  data quality  ,  data warehousing  ,  crm  ,  solution architect  ,  infrastructure  ,  sql database",Posted 5 days ago
Sr. Programmatic Trader - Bangalore,MiQ Digital India,5 - 8 yrs,None,"Puri,  Bengaluru / Bangalore",,"                programmatic expertise   ,   data analysis   ,   campaign execution   ,   client servicing   ,   communication skills   ,  bi  ,  sql  ,  rest  ,  python  ,  mobile  ,  problem solving  ,  infrastructure",Posted 5 days ago
Full Stack Developer  Node JS,AugmatrixGo,4 - 6 yrs,None,Bengaluru / Bangalore,,"                mobile  ,  problem solving  ,  svn  ,  storage  ,  javascript  ,  jquery  ,  elastic search  ,  git  ,  couchbase  ,  system development  ,  mysql  ,  big data",Posted few days ago
Position title Lead Data Scientist,grazitti interactive,6 - 9 yrs,None,Mohali,,"                artificial intelligence  ,  sql  ,  python  ,  machine learning",Posted few days ago
Data Engineer,litmus7 systems consulting private limited,1 - 3 yrs,None,Cochin/ Kochi/ Ernakulam,,"                python  ,  orchestration  ,  sql",Posted few days ago
Chief Technology Officer,AugmatrixGo,8 - 10 yrs,None,Bengaluru / Bangalore,,"                hosting  ,  storage  ,  jquery  ,  elastic search  ,  database  ,  java  ,  couchbase  ,  system development  ,  mysql  ,  web development  ,  big data  ,  cloud computing  ,  mongodb  ,  mobile  ,  machine learning  ,  javascript  ,  it professional",Posted few days ago
Statistical Programmer,CTE,3 - 15 yrs,None,,,"                biostatistics  ,  research  ,  statistician  ,  clinical  ,  clinical trials  ,  statistical analysis  ,  statistical programming",Posted few days ago
Solr search optimizer,CIGNEX Datamatics Technologies Pvt Ltd,3 - 7 yrs,None,"Ahmedabad,  Gurgaon,  Bengaluru / Bangalore",,"                python  ,  natural language processing  ,  maven  ,  lucene  ,  gradle  ,  java  ,  apache  ,  web development",Posted few days ago
Senior Python Developer,Tranzmeo It Solutions,3 - 6 yrs,None,Cochin/ Kochi/ Ernakulam,,"                python  ,  rdbms  ,  machine learning  ,  docker  ,  git  ,  oops  ,  debugging  ,  hadoop  ,  big data",Posted few days ago
Senior php fullsatck developer,alliance recruitment agency,3 - 7 yrs,None,Pune,,"                css  ,  html5  ,  symfony  ,  jquery  ,  sql  ,  docker  ,  database  ,  yii  ,  software engineering  ,  mysql  ,  object oriented programming  ,  mvc framework  ,  laravel  ,  python  ,  javascript  ,  php",Posted few days ago
Principal Architect,Techasoft Pvt Ltd,10 - 13 yrs,None,"Delhi,  Delhi/NCR,  Bengaluru / Bangalore",,"                git  ,  iam  ,  api  ,  microsoft azure  ,  visual studio  ,  sql database",Posted few days ago
"Data Scientist ,  Data Analyst",ion trading india pvt. ltd.,2 - 3 yrs,None,,,"                bi  ,  big data  ,  python  ,  information retrieval  ,  problem solving  ,  team player  ,  machine learning",Posted few days ago
Nielsen - Senior Software Developer,Nielsen Research Ltd. Co.,5 - 8 yrs,None,Bengaluru / Bangalore,,"                backend development   ,   data passion   ,   aws cloud servers   ,   spark  ,   scala  ,   java  ,   python  ,   sql   ,   rdbms  ,   database designing   ,  hive  ,  data warehousing  ,  senior software developer  ,  hadoop  ,  technical skills  ,  big data",Posted few days ago
Senior Data Scientist,m / s simplex infrastructures ltd,4 - 6 yrs,None,Bengaluru / Bangalore,,"                algorithms  ,  ds  ,  sql  ,  big data  ,  python  ,  machine learning",Posted few days ago
Quality Assurance Specialist,Nielsen Research Ltd. Co.,3 - 5 yrs,None,Australia,,"                bi  ,  sql  ,  qa  ,  ui  ,  software engineering  ,  agile methodology  ,  software testing  ,  istqb  ,  testing  ,  defect reporting  ,  environment management  ,  test preparation",Posted few days ago
Client Services Development Leader,2Soft Solutions Pvt. Ltd.,6 - 15 yrs,None,Mumbai,,"                client services   ,   development   ,   leadership   ,   capital markets   ,   technology   ,  algorithms  ,  c    ,  scala  ,  database  ,  fx  ,  java  ,  hadoop  ,  big data  ,  python  ,  sas  ,  machine learning  ,  infrastructure  ,  forms",Posted few days ago
Chennai Job Vacancies for International Non Voice - Single Job,info search,1 - 4 yrs,None,Chennai,,"                ai  /   machine learning  ,   data analysis  ,   statistical modelling  ,   data visualisation  ,   image analysis algorithms   ,  python  ,  c    ,  java  ,  big data",Posted few days ago
Machine Learning Engineer,Vitrana,2 - 4 yrs,None,"Noida/Greater Noida,  Bengaluru / Bangalore",,"                algorithms  ,  python  ,  machine learning",Posted few days ago
Associate Professor- Computers,alliance recruitment agency,5 - 15 yrs,None,Kolkata,,"                c    ,  python  ,  c  ,  machine learning  ,  java  ,  devops  ,  cloud computing  ,  forms",Posted few days ago
Digital Marketing Manager,cibirix digital media,7 - 10 yrs,None,,,"                email marketing  ,  Digital Marketing  ,  HTML",Posted few days ago
Data Scientist,ai enterprise,5 - 8 yrs,None,Bengaluru / Bangalore,,"                algorithms  ,  python  ,  apache",Posted few days ago
